ID,HoKhauID,QuanHe,HoTen,NgaySinh,GioiTinh,NoiSinh,NguyenQuan,DanToc,TonGiao,NgheNghiep,CMND
1,143,Con trai,Maria Bell,1980-08-20,0,Bulgaria,Foleyborough,Kinh,0,Làm ruộng,123461410
2,50,Mẹ,Elizabeth Harris,1999-11-14,0,Mali,Port Michael,Kinh,0,Làm ruộng,123462834
3,53,Mẹ,Rachel Price,2005-02-26,0,Ukraine,Brianbury,Kinh,0,Làm ruộng,123462200
4,24,Con trai,Alejandro Brown,1978-04-15,1,France,Lake John,Kinh,0,Làm ruộng,123460237
5,6,Bố,Marcus Wheeler,1999-06-07,0,Nepal,Lake Travis,Kinh,0,Làm ruộng,123462902
6,225,Mẹ,Samuel Moyer,1998-03-17,0,Greenland,Lake Ronnie,Kinh,0,Làm ruộng,123460209
7,96,Chồng,Matthew Peterson,2010-12-26,1,Kazakhstan,Gileschester,Kinh,0,Làm ruộng,123460417
8,293,Bố,Clarence Tyler,1989-09-27,1,Vanuatu,South Derekview,Kinh,1,Làm ruộng,123461328
9,342,Con trai,Tammy Melendez,1996-12-17,0,Vietnam,Jessicashire,Kinh,0,Làm ruộng,123461975
10,115,Con trai,Dawn Wallace,1996-08-25,0,Korea,North Nicholeton,Kinh,0,Giáo viên,123462678
11,267,Chồng,William Spencer,1997-07-26,1,Yemen,East Catherinehaven,Kinh,0,Làm ruộng,123458465
12,281,Con trai,Luke Carter,1982-12-08,1,Djibouti,Lake Michael,Kinh,0,Làm ruộng,123458747
13,383,Con trai,Daniel Schneider,2007-11-22,1,Saint Martin,New Patricia,Kinh,0,Nhân viên kinh doanh,123459645
14,388,Con gái,Mary Hicks,1992-07-13,0,Suriname,Elizabethhaven,Kinh,0,Làm ruộng,123460560
15,130,Con gái,Darrell Brown,1988-02-08,0,Falkland Islands (Malvinas),West Thomas,Kinh,0,Giáo viên,123461054
16,56,Bố,Nicole Moody,1980-05-24,1,Sao Tome and Principe,Morganfurt,Kinh,0,Làm ruộng,123460600
17,351,Mẹ,Anthony Lewis,1977-12-26,0,New Zealand,North Theresa,Kinh,0,Giáo viên,123459315
18,40,Chồng,Andrea Barrera,2015-05-29,1,Indonesia,Heathermouth,Kinh,0,Làm ruộng,123462664
19,105,Con trai,Katherine Morgan,1989-11-07,0,Sudan,Sabrinabury,Kinh,0,Làm ruộng,123463182
20,83,Con trai,Maurice Clarke,1993-06-05,0,United States of America,Phillipmouth,Kinh,0,Làm ruộng,123461397
21,53,Con trai,Kylie Romero,2013-08-09,0,Peru,Brownport,Tày,0,Làm ruộng,123460863
22,21,Con trai,Robin Torres,1994-10-10,0,Bahrain,Deannamouth,Ê-đê,0,Làm ruộng,123461277
23,368,Bố,Joseph Buck,1985-06-27,0,South Africa,New Jeremyberg,Kinh,0,Giáo viên,123461281
24,51,Vợ,Allison Glass,1981-09-10,1,Dominican Republic,Port Hayleyhaven,Kinh,0,Làm ruộng,123460936
25,141,Bố,Brandon Johnson,1992-02-20,0,Bangladesh,Garyside,Kinh,0,Giáo viên,123462103
26,344,Chồng,Caleb Rojas,2014-11-03,1,Dominican Republic,Maryfurt,Kinh,0,Giáo viên,123462069
27,214,Bố,Sandra Myers,1975-10-31,1,Congo,Lucasville,Kinh,0,Làm ruộng,123459600
28,287,Con gái,Robert Mccall,1987-07-16,0,Antarctica (the territory South of 60 deg S),West Matthewchester,Tày,0,Làm ruộng,123459133
